,a,b
0,LotFrontage,0.0005352466432195259
1,LotArea,2.6527386698713593e-06
2,YearBuilt,-0.00177570306992906
3,GrLivArea,0.0003306718322018956
4,YrSold,-0.0027276753465559534
5,MSZoning_RL,0.02005186645025985
6,MSZoning_RMH,-0.008516123171658289
7,Alley_NoAccess,-0.0037107729892467433
8,LotShape_Regular,-0.003447004195248044
9,LandContour_Unflat,0.0
10,LotConfig_CulDSac,0.028167610274357078
11,LotConfig_Inside,-0.0016386223182565936
12,LandSlope_NGtl,0.0
13,Neighborhood_NAmes,0.03597143267934046
14,Neighborhood_SAmes,0.0142033892809106
15,Condition1_NormP,0.04399628575987119
16,BldgType_OneFamily,0.03106760815019711
17,BldgType_Townhouse,-0.0
18,HouseStyle_OneStoryUp,-0.014914628495273828
19,OverallQual_HighQ,0.10476621931305746
20,OverallQual_LowQ,-0.08500938549578907
21,OverallCond_BadC,-0.1283364287017462
22,OverallCond_GoodC,0.06875763732404809
23,RoofStyle_not_gable,0.01837864946874231
24,MasVnrType_no_masvnr,-0.0
25,ExterQual_low,-0.02766518061008719
26,ExterCond_low,-0.0
27,Foundation_pconc,0.01930906938690336
28,BsmtQual_low,-0.024558724883722904
29,BsmtCond_low,-0.0
30,BsmtExposure_no_exposure,-0.030573239742033697
31,BsmtFinType1_undeveloped,-0.038628764334019995
32,TotalBsmtSF_mhigh,-0.01574093952323503
33,TotalBsmtSF_mlow,-0.03604740018476076
34,TotalBsmtSF_small,-0.0882601490396602
35,HeatingQC_low,-0.032966783338171754
36,CentralAir_NoCentAir,-0.07648774306498733
37,Electrical_StdCBrkr,0.0
38,BedroomAbvGr_=3Bedr,-0.0
39,BedroomAbvGr_>=4Bedr,-0.03946639399085821
40,KitchenAbvGr_>=2Ktchn,-0.024666538451637198
41,KitchenQual_ExKtchnQ,0.11767773765153128
42,KitchenQual_GdKtchnQ,0.019050071664891866
43,TotRmsAbvGrd_<=4TotRms,-0.0
44,TotRmsAbvGrd_>=8TotRms,-0.0059175708331282145
45,Functional_TypFunc,0.07274318310459092
46,Fireplaces_NoFireplace,-0.017673426332451357
47,FireplaceQu_OthFireplace,-0.03551870766684796
48,GarageType_Detached,-0.0
49,GarageFinish_GarageUnf,-0.0
50,GarageFinish_NoGarageFin,-0.045123282480357796
51,GarageFinish_RoughGarageFin,0.0
52,GarageCars_1,-0.021442352306252254
53,GarageCars_2,0.0011136653609006488
54,GarageCars_AtLeast3,0.05151209136473922
55,GarageQual_GarageQual_not_good,-0.007306740787128731
56,GarageCond_GarageCond_not_good,-0.0636955023561451
57,PavedDrive_Y,0.0150507579076568
58,WoodDeckSF_WoodDeck_Yes,0.00835662688224246
59,OpenPorchSF_OpenPorch_Yes,0.005461633345606666
60,Fence_no_fence,0.0
61,MoSold_peak_months,0.009590145075651278
62,SaleType_non_deed,0.037036802529798754
63,SaleCondition_not_normal,-0.031573564016853344
64,IsVinyl_yes,-0.002891110586862372
65,FullBaths_<=1FullBath,-0.03177314950674839
66,FullBaths_>=3FullBaths,0.046959732961720395
67,HalfBaths_>=1HalfBaths,0.01669547226445235
68,Enclosed_combined_EnclosedPorch_Yes,0.03283259806579129
