,a,b
0,LotFrontage,0.0005338470407298789
1,LotArea,2.5052346383429766e-06
2,YearBuilt,-0.0019390133780876149
3,GrLivArea,0.00034287129867758626
4,YrSold,-0.0028079514659560666
5,MSZoning_RL,0.019402609760953447
6,MSZoning_RMH,-0.011865251049297773
7,Alley_NoAccess,-0.016075134919389587
8,LotShape_Regular,-0.006082229954886691
9,LandContour_Unflat,0.006395302404077647
10,LotConfig_CulDSac,0.023705232571988248
11,LotConfig_Inside,-0.004916771335525207
12,LandSlope_NGtl,-0.0026732268414820714
13,Neighborhood_NAmes,0.03563699567689807
14,Neighborhood_SAmes,0.015782445685271485
15,Condition1_NormP,0.03856503801354895
16,BldgType_OneFamily,0.027308250868247112
17,BldgType_Townhouse,-0.014252215938429059
18,HouseStyle_OneStoryUp,-0.02511701458687992
19,OverallQual_HighQ,0.08317515022977238
20,OverallQual_LowQ,-0.07087762747859011
21,OverallCond_BadC,-0.08935637695034859
22,OverallCond_GoodC,0.05458976756295362
23,RoofStyle_not_gable,0.023027798689918673
24,MasVnrType_no_masvnr,-0.007691669314606561
25,ExterQual_low,-0.03482990061019176
26,ExterCond_low,-0.009103878295081587
27,Foundation_pconc,0.02498723543961605
28,BsmtQual_low,-0.027293317073940504
29,BsmtCond_low,-0.009728090937350891
30,BsmtExposure_no_exposure,-0.03373737452711204
31,BsmtFinType1_undeveloped,-0.03787879597985944
32,TotalBsmtSF_mhigh,-0.010402055706682553
33,TotalBsmtSF_mlow,-0.02389810523038301
34,TotalBsmtSF_small,-0.06869601827852465
35,HeatingQC_low,-0.03591989625372379
36,CentralAir_NoCentAir,-0.059153793179899376
37,Electrical_StdCBrkr,0.01492511719954262
38,BedroomAbvGr_=3Bedr,-0.006057835105498387
39,BedroomAbvGr_>=4Bedr,-0.04196149172547379
40,KitchenAbvGr_>=2Ktchn,-0.031502542054726725
41,KitchenQual_ExKtchnQ,0.0811426861528853
42,KitchenQual_GdKtchnQ,0.012640692646123565
43,TotRmsAbvGrd_<=4TotRms,-0.009046678452141202
44,TotRmsAbvGrd_>=8TotRms,-0.011426621517494667
45,Functional_TypFunc,0.0596161102608313
46,Fireplaces_NoFireplace,-0.019974651079887513
47,FireplaceQu_OthFireplace,-0.040495999604316504
48,GarageType_Detached,-0.001909063427586336
49,GarageFinish_GarageUnf,-0.0024956222961635853
50,GarageFinish_NoGarageFin,-0.038488580682401574
51,GarageFinish_RoughGarageFin,0.002431958261352117
52,GarageCars_1,-0.017081722144415053
53,GarageCars_2,0.0028092986734354715
54,GarageCars_AtLeast3,0.052761004153380725
55,GarageQual_GarageQual_not_good,-0.027129099387029936
56,GarageCond_GarageCond_not_good,-0.0424813664293174
57,PavedDrive_Y,0.024073045774332953
58,WoodDeckSF_WoodDeck_Yes,0.012947391519757283
59,OpenPorchSF_OpenPorch_Yes,0.010120896002811158
60,Fence_no_fence,0.003566053957934274
61,MoSold_peak_months,0.013196137286798741
62,SaleType_non_deed,0.033359145896492935
63,SaleCondition_not_normal,-0.02763831125081648
64,IsVinyl_yes,-0.011442326744091052
65,FullBaths_<=1FullBath,-0.02972772290074843
66,FullBaths_>=3FullBaths,0.04378189989003247
67,HalfBaths_>=1HalfBaths,0.018078640714959255
68,Enclosed_combined_EnclosedPorch_Yes,0.032309449094543384
